Nº,   Fecha,       (Lugar),         Partidos,      resultado,   Competición
41,03-02-1935,(Madrid)   ,R. Madrid - Barcelona,8-2,Cto. de Liga(10?)
42,21-04-1935,(Barcelona),Barcelona - R. Madrid,5-0,Cto. de Liga(21?)
43,22-12-1935,(Barcelona),Barcelona - R. Madrid,0-3,Cto. de Liga(7?)
44,22-03-1936,(Madrid)   ,R. Madrid - Barcelona,3-0,Cto. de Liga(18?)
45,21-06-1936,(Valencia) ,R. Madrid - Barcelona,2-1,Copa Presidente (F)
46,28-01-1940,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(9?)
47,14-04-1940,(Barcelona),Barcelona - R. Madrid,0-0,Cto. de Liga(20?)
48,15-09-1940,(Barcelona),Barcelona - R. Madrid,5-4,Partido amistoso
49,01-12-1940,(Barcelona),Barcelona - R. Madrid,3-0,Cto. de Liga(10?)
50,23-02-1941,(Madrid)   ,R. Madrid - Barcelona,1-2,Cto. de Liga(21?)
51,08-06-1941,(Madrid)   ,R. Madrid - Barcelona,2-3,Partido amistoso
52,19-10-1941,(Madrid)   ,R. Madrid - Barcelona,4-3,Cto. de Liga(4?)
53,25-01-1942,(Barcelona),Barcelona - R. Madrid,0-2,Cto. de Liga(17?)
54,27-09-1942,(Madrid)   ,R. Madrid - Barcelona,3-0,Cto. de Liga(1?)
55,10-01-1943,(Barcelona),Barcelona - R. Madrid,5-5,Cto. de Liga(14?)
56,06-06-1943,(Barcelona),Barcelona - R. Madrid,3-0,C.Generalisimo(1/2)
57,13-06-1943,(Madrid)   ,R. Madrid - Barcelona,11-1,C.Generalisimo(1/2)
58,31-10-1943,(Madrid)   ,R. Madrid - Barcelona,1-1,homenaje a Monjard?n
59,26-12-1943,(Barcelona),Barcelona - R. Madrid,4-0,homenaje a Franco
60,02-01-1944,(Madrid)   ,R. Madrid - Barcelona,0-1,Cto. de Liga(13?)
61,09-04-1944,(Barcelona),Barcelona - R. Madrid,1-2,Cto. de Liga(26?)
62,12-11-1944,(Madrid)   ,R. Madrid - Barcelona,1-0,Cto. de Liga(8?)
63,25-03-1945,(Barcelona),Barcelona - R. Madrid,5-0,Cto. de Liga(21?)
64,25-11-1945,(Madrid)   ,R. Madrid - Barcelona,3-2,Cto. de Liga(9?)
65,03-03-1946,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(22?)
66,01-12-1946,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(11?)
67,30-03-1947,(Barcelona),Barcelona - R. Madrid,3-2,Cto. de Liga(24?)
68,12-10-1947,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga(4?)
69,25-01-1948,(Barcelona),Barcelona - R. Madrid,4-2,Cto. de Liga(17?)
70,23-05-1948,(Barcelona),Barcelona - R. Madrid,1-0,Torneo Hist?ricos
71,30-05-1948,(Madrid)   ,R. Madrid - Barcelona,0-1,Torneo Hist?ricos 
72,19-09-1948,(Madrid)   ,R. Madrid - Barcelona,1-2,Cto. de Liga(2?)
73,09-01-1949,(Barcelona),Barcelona - R. Madrid,3-1,Cto. de Liga(15?)
74,18-09-1949,(Madrid)   ,R. Madrid - Barcelona,6-1,Cto. de Liga(3?)
75,15-01-1950,(Barcelona),Barcelona - R. Madrid,2-3,Cto. de Liga(16?)
76,24-09-1950,(Barcelona),Barcelona - R. Madrid,7-2,Cto. de Liga(3?)
77,14-01-1951,(Madrid)   ,R. Madrid - Barcelona,4-1,Cto. de Liga(18?)
78,11-11-1951,(Madrid)   ,R. Madrid - Barcelona,5-1,Cto. de Liga(10?)
79,02-03-1952,(Barcelona),Barcelona - R. Madrid,4-2,Cto. de Liga(25?)
80,23-11-1952,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(11?)
81,05-04-1953,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(26?)
82,25-10-1953,(Madrid)   ,R. Madrid - Barcelona,5-0,Cto. de Liga(7?)
83,21-02-1954,(Barcelona),Barcelona - R. Madrid,5-1,Cto. de Liga(22?)
84,06-06-1954,(Madrid)   ,R. Madrid - Barcelona,1-0,C.Generalisimo(1/2)
85,13-06-1954,(Barcelona),Barcelona - R. Madrid,3-1,C.Generalisimo(1/2)
86,21-11-1954,(Madrid)   ,R. Madrid - Barcelona,3-0,Cto. de Liga(11?)
87,06-03-1955,(Barcelona),Barcelona - R. Madrid,2-2,Cto. de Liga(26?)
88,13-11-1955,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(10?)
89,18-03-1956,(Barcelona),Barcelona - R. Madrid,2-0,Cto. de Liga(25?)
90,11-11-1956,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(10?)
91,03-03-1957,(Madrid)   ,R. Madrid - Barcelona,1-0,Cto. de Liga(25?)
92,12-05-1957,(Madrid)   ,R. Madrid - Barcelona,2-2,C.Generalisimo(1/4)
93,19-05-1957,(Barcelona),Barcelona - R. Madrid,6-1,C.Generalisimo(1/4)
94,13-10-1957,(Madrid)   ,R. Madrid - Barcelona,3-0,Cto. de Liga(5?)
95,02-02-1958,(Barcelona),Barcelona - R. Madrid,0-2,Cto. de Liga(20?)
96,26-10-1958,(Barcelona),Barcelona - R. Madrid,4-0,Cto. de Liga(7?)
97,15-02-1959,(Madrid)   ,R. Madrid - Barcelona,0-0,Cto. de Liga(22?)
98,07-06-1959,(Madrid)   ,R. Madrid - Barcelona,2-4,C.Generalisimo(1/2)
99,14-06-1959,(Barcelona),Barcelona - R. Madrid,3-1,C.Generalisimo(1/2)
100,30-08-1959,(C?diz)    ,R. Madrid - Barcelona,4-3,Trofeo Carranza(F)
101,29-11-1959,(Madrid)   ,R. Madrid - Barcelona,2-0,Cto. de Liga(11?)
102,20-03-1960,(Barcelona),Barcelona - R. Madrid,3-1,Cto. de Liga(26?)
103,21-04-1960,(Madrid)   ,R. Madrid - Barcelona,3-1,Copa Europa (1/2)
104,27-04-1960,(Barcelona),Barcelona - R. Madrid,1-3,Copa Europa (1/2)
105,09-11-1960,(Barcelona),R. Madrid - Barcelona,2-2,Copa Europa (1/8)
106,23-11-1960,(Madrid)   ,Barcelona - R. Madrid,2-1,Copa Europa (1/8)
107,04-12-1960,(Barcelona),Barcelona - R. Madrid,3-5,Cto. de Liga(12?)
108,26-03-1961,(Madrid)   ,R. Madrid - Barcelona,3-2,Cto. de Liga(27?)
109,30-09-1961,(Madrid)   ,R. Madrid - Barcelona,2-0,Cto. de Liga(5?)
110,21-01-1962,(Barcelona),Barcelona - R. Madrid,3-1,Cto. de Liga(20?)
111,15-04-1962,(Madrid)   ,R. Madrid - Barcelona,0-1,C. Generalisimo(1/4)
112,22-04-1962,(Barcelona),Barcelona - R. Madrid,1-3,C. Generalisimo(1/4)
113,30-09-1962,(Madrid)   ,R. Madrid - Barcelona,2-0,Cto. de Liga(3?)
114,27-01-1963,(Barcelona),Barcelona - R. Madrid,1-5,Cto. de Liga(18?)
115,15-12-1963,(Madrid)   ,R. Madrid - Barcelona,4-0,Cto. de Liga(12?)
116,30-03-1964,(Barcelona),Barcelona - R. Madrid,1-2,Cto. de Liga(27?)
117,08-11-1964,(Madrid)   ,R. Madrid - Barcelona,4-1,Cto. de Liga(9?)
118,28-02-1965,(Barcelona),Barcelona - R. Madrid,1-2,Cto. de Liga(24?)
119,19-12-1965,(Madrid)   ,R. Madrid - Barcelona,1-3,Cto. de Liga(14?)
120,27-03-1966,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(29?)
121,20-11-1966,(Madrid)   ,R. Madrid - Barcelona,1-0,Cto. de Liga(10?)
122,19-03-1967,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(25?)
123,10-12-1967,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga(12?)
124,09-04-1968,(Barcelona),Barcelona - R. Madrid,1-1,Cto. de Liga(27?)
125,11-07-1968,(Madrid)   ,R. Madrid - Barcelona,0-1,C.Generalisimo (F)
126,31-08-1968,(C?diz).   ,Barcelona - R. Madrid,2-1,Trofeo Carranza(1/2)
127,16-11-1968,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(9?)
128,09-03-1969,(Barcelona),Barcelona - R. Madrid,1-1,Cto. de Liga(24?)
129,14-09-1969,(Madrid)   ,R. Madrid - Barcelona,3-3,Cto. de Liga(1?)
130,28-12-1969,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(16?)
131,30-05-1970,(Madrid)   ,R. Madrid - Barcelona,2-0,C.Generalisimo(1/4)
132,06-06-1970,(Barcelona),Barcelona - R. Madrid,1-1,C.Generalisimo (1/4)
133,25-10-1970,(Madrid)   ,R. Madrid - Barcelona,0-1,Cto. de Liga(7?)
134,14-02-1971,(Barcelona),Barcelona - R. Madrid,0-1,Cto. de Liga(22?)
135,28-11-1971,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga(11?)
136,03-04-1972,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(28?)
137,01-10-1972,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(5?)
138,25-02-1973,(Madrid)   ,R. Madrid - Barcelona,0-0,Cto. de Liga(22?)
139,07-10-1973,(Barcelona),Barcelona - R. Madrid,0-0,Cto. de Liga(6?)
140,17-02-1974,(Madrid)   ,R. Madrid - Barcelona,0-5,Cto. de Liga(23?)
141,29-06-1974,(Madrid)   ,R. Madrid - Barcelona,4-0,C.Generalisimo (F)
142,05-01-1975,(Madrid)   ,R. Madrid - Barcelona,1-0,Cto. de Liga(15?)
143,11-05-1975,(Barcelona),Barcelona - R. Madrid,0-0,Cto. de Liga(32?)
144,28-12-1975,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(15?)
145,30-04-1976,(Madrid)   ,R. Madrid - Barcelona,0-2,Cto. de Liga32?)
146,19-09-1976,(Barcelona),Barcelona - R. Madrid,3-1,Cto. de Liga(3?)
147,30-01-1977,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga(20?)
148,04-12-1977,(Barcelona),Barcelona - R. Madrid,2-3,Cto. de Liga(12?)
149,05-04-1978,(Madrid)   ,R. Madrid - Barcelona,4-0,Cto. de Liga(29?)
150,23-09-1978,(Madrid)   ,R. Madrid - Barcelona,3-1,Cto. de Liga(4?)
151,17-02-1979,(Barcelona),Barcelona - R. Madrid,2-0,Cto. de Liga(21?)
152,23-09-1979,(Madrid)   ,R. Madrid - Barcelona,3-2,Cto. de Liga(3?)
153,10-02-1980,(Barcelona),Barcelona - R. Madrid,0-2,Cto. de Liga(20?)
154,30-11-1980,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(13?)
155,29-03-1981,(Madrid)   ,R. Madrid - Barcelona,3-0,Cto. de Liga(30?)
156,20-12-1981,(Barcelona),Barcelona - R. Madrid,3-1,Cto. de Liga(16?)
157,18-04-1982,(Madrid)   ,R. Madrid - Barcelona,3-2,Cto. de Liga(33?)
158,30-05-1982,(Caracas)  ,R. Madrid - Barcelona,1-0,Partido amistoso
159,27-11-1982,(Madrid)   ,R. Madrid - Barcelona,0-2,Cto. de Lida(13?) 
160,26-03-1983,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(30?)
161,04-06-1983,(Zaragoza) ,Barcelona - R. Madrid,2-1,Final Copa del Rey
162,26-06-1983,(Madrid)   ,R. Madrid - Barcelona,2-2,Copa de la Liga (F)
163,29-06-1983,(Barcelona),Barcelona - R. Madrid,2-1,Copa de la Liga (F)
164,22-10-1983,(Madrid)   ,Barcelona - R. Madrid,1-2,Cto. de Liga(8?)
165,03-03-1984,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(25?)
166,02-09-1984,(Madrid)   ,R. Madrid - Barcelona,0-3,Cto. de Liga(1?)
167,30-12-1984,(Barcelona),Barcelona - R. Madrid,3-2,Cto. de Liga(18?)
168,11-05-1985,(Barcelona),Barcelona - R. Madrid,2-2,Copa de la Liga(1/4)
169,18-05-1985,(Madrid)   ,R. Madrid - Barcelona,1-1,Copa de la Liga(1/4)
170,09-11-1985,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(11?)
171,08-03-1986,(Madrid)   ,R. Madrid - Barcelona,3-1,Cto. de Liga(28?)
172,11-05-1986,(Barcelona),Barcelona - R. Madrid,2-2,Copa de la Liga(1/4)
173,18-05-1986,(Madrid)   ,R. Madrid - Barcelona,0-4,Copa de la Liga(1/4)
174,08-10-1986,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga(8?)
175,31-01-1987,(Barcelona),Barcelona - R. Madrid,3-2,Cto. de Liga(25?)
176,12-04-1987,(Madrid)   ,R. Madrid - Barcelona,0-0,Cto. de Liga(35?)
177,23-05-1987,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(40?)
